Name,Type,Gender,Address,Town,County,Beds,Contact Name,Phone,Email
12 Step Education Program of New England,Sober,Co-ed,317 Boston Road,Billerica,Middlesex,53,Phil Malonson,978-640-2429,pmalonson@sober-recovery.org
123 House East,Sober,Male,51 Plymouth Street,Holbrook,Norfolk,15,Bill Berneburg,339-933-0603,sober123house@gmail.com
123 House North,Sober,Male,26 St. Casimir Avenue,Brockton,Plymouth,19,Bill Berneburg,339-933-0603,sober123house@gmail.com
123 House South,Sober,Male,494 Copeland Street,Brockton,Plymouth,20,Bill Berneburg,339-933-0603,sober123house@gmail.com
1AA Savin Hill House,Sober,Male,54 Sydney Street,Dorchester,Suffolk,12,Mike Ashe,617-224-8151,intake@masssoberliving.com
A New Beginning 1,Sober,Male,19 Vesta Road,Dorchester,Suffolk,7,Diana Cadiz,857-526-2689,dianacadiz@gmail.com
A New Beginning 2,Sober,Male,19 Vesta Road,Dorchester,Suffolk,7,Diana Cadiz,857-526-2689,dianacadiz@gmail.com
A New Beginning 3,Sober,Male,19 Vesta Road,Dorchester,Suffolk,7,Diana Cadiz,857-526-2689,dianacadiz@gmail.com
A New Life Sober Living,Sober,Male,841 Bridge Street,Lowell,Middlesex,6,David Asher,413-977-9726,anewlifema@gmail.com
A New Life Sober Living #2,Sober,Female,73 Mansur St,Lowell,Middlesex,13,David Asher,413-977-9726,anewlifema@gmail.com
A Vision for Hope,Sober,Male,45 Burnside Avenue,East Hartford,Hartford (CT),14,Steven Lewis,860-462-5045,avisionforhope@gmail.com
Abby’s House,Sober,Female,52 High Street,Worcester,Worcester,9,Mary Fitzpatrick,508-756-5486,info@abbyshouse.org
Able House #1,Sober,Female,184 Bowdoin Street,Springfield,Hampden,10,Jennifer Brassard,413-310-0012,jBrassard@mhainc.org
Able House #2,Sober,Male,186 St. James Avenue,Springfield,Hampden,9,Jennifer Brassard,413-310-0012,jBrassard@mhainc.org
ACE Recovery for Men,Sober,Male,67 Elm Street,Worcester,Worcester,10,Adam White,774-535-4445,acemen@gmail.com
ACE Recovery for Women,Sober,Female,91 Elm Street,Worcester,Worcester,10,Jennifer White,774-535-4444,acewomen@gmail.com
Adams House,Sober,Male,12 Adams Street,Taunton,Bristol,15,Paul Jenkins,508-813-6720,adamsrecoveryhouse@gmail.com
Anchor House,Sober,Co-ed,132 Main Street,Plymouth,Plymouth,20,Nancy Carver,508-746-6654,info@anchorhouseinc.org
Anchor House,LTRP,Male,60 1/2 Cherry Street,Plymouth,Plymouth,, ,508-746-6654 ext. 101,
Answer House,LTRP,Male,5 G Street,South Boston,Suffolk,,William Thompson,617-268-7124,
Ashland Sober Home,Sober,Male,19 Main Street,Ashland,Middlesex,12,Steven Porter,508-881-2345,ashlandsoberhome@gmail.com
Askia Acedemy,LTRP,Male,9 Notre Dame Street,Roxbury,Suffolk,,Rayann Batchelder,617-442-8800 ext.1654,
Baystate Recovery Center,Sober,Male,200 Maple Street,Lynn,Essex,10,John Sullivan,781-595-5555,baystaterecovery@gmail.com
Beacon House,Sober,Male,500 Beacon Street,Newton,Middlessex,14,Mark Stanley,617-332-7777,beaco
Beacon House for Men - ServiceNet,LTRP,Male,57 Beacon Street,Greenfield,Franklin,,Patricia Smith,413-512-0747,
Bedford Domicilian Program,LTRP,Male,200 Spring Street,Bedford,Middlesex,,Carly Wilson,781-860-2374,
Bedford Recovery House,Sober,Male,18 Summer Street,Bedford,Middlesex,12,James Carter,781-275-6789,bedfordrecovery@gmail.com
Belmont Co-Ed Sober Home,Sober,Co-ed,88 Leonard Street,Belmont,Middlesex,14,Rachel Dunn,617-555-2020,belmontcoedsober@gmail.com
Belmont Healing House,Sober,Co-ed,88 Pleasant Street,Belmont,Middlesex,14,Rachel Dunn,617-555-2020,belmonthealinghouse@gmail.com
Belmont Recovery House,Sober,Co-ed,88 Orchard Street,Belmont,Middlesex,14,Rachel Dunn,617-555-2020,belmontrecoveryhouse@gmail.com
Belmont Sober Living,Sober,Male,75 Leonard Street,Belmont,Middlesex,8,Henry Wallace,617-489-3333,belmontsoberliving@gmail.com
Belmont Sober Recovery,Sober,Co-ed,88 Church Street,Belmont,Middlesex,14,Rachel Dunn,617-555-2020,belmontsoberrecovery@gmail.com
Berkshires Recovery,Sober,Male,101 Park Street,Pittsfield,Berkshire,11,Robert Nash,413-499-9999,berkshiresrecovery@gmail.com
Blue Hills Sober Home,Sober,Female,60 Blue Hills Parkway,Milton,Norfolk,10,Sarah Milton,617-696-4444,bluehillsrecovery@gmail.com
Boston Recovery Home,Sober,Male,130 Commonwealth Ave,Boston,Suffolk,18,Tom Richards,617-456-7890,bostonrecoveryhome@gmail.com
Boston Sober Homes,Sober,Female,153 Ruthven Street,Dorchester,Suffolk,23,Kathy Curley,857-417-1753,kathy@bostonsoberhomes.com
Boston Sober Homes,Sober,Male,12 Seaver Street,Dorchester,Suffolk,24,Brendon Conlan,617-504-3324,brendan@bostonsoberhomes.com
Braintree Recovery Home,Sober,Male,65 Union Street,Braintree,Norfolk,14,Chris Donovan,781-555-2223,braintreerecovery@gmail.com
Bridge to Recovery,Sober,Male,12 Elm Street,Haverhill,Essex,14,Michael Bryant,978-555-1212,bridgetorecovery@gmail.com
Brockton Co-Ed Sober Home,Sober,Co-ed,25 Montello Street,Brockton,Plymouth,12,Chris Patterson,508-555-6666,brocktoncoedsober@gmail.com
Brockton Co-Ed Sober Living,Sober,Co-ed,45 Main Street,Brockton,Plymouth,17,James O'Neill,508-555-7070,brocktoncoed@gmail.com
Brockton Healing House,Sober,Co-ed,25 North Street,Brockton,Plymouth,12,Chris Patterson,508-555-6666,brocktonhealing@gmail.com
Brockton Men's Recovery,Sober,Male,200 Main Street,Brockton,Plymouth,14,Kevin Harris,508-555-9090,brocktonmensrecovery@gmail.com
Brockton Recovery House,Sober,Co-ed,25 School Street,Brockton,Plymouth,12,Chris Patterson,508-555-6666,brocktonrecoveryhouse@gmail.com
Brockton Sober Living,Sober,Male,88 Main Street,Brockton,Plymouth,20,Adam Spencer,508-123-4567,brocktonsoberliving@gmail.com
Brockton Women's Healing House,Sober,Female,120 Spring Street,Brockton,Plymouth,15,Jennifer O'Neil,508-555-3334,brocktonwomenshouse@gmail.com
Cambridge Co-Ed Recovery,Sober,Co-ed,99 Harvard Street,Cambridge,Middlesex,14,Patrick Simmons,617-555-8080,cambridgecoedrecovery@gmail.com
Cambridge Healing House,Sober,Male,45 Brattle Street,Cambridge,Middlesex,15,Steve Daniels,617-987-6543,cambridgehealing@gmail.com
Cambridge Women's House,Sober,Female,25 Harvard Square,Cambridge,Middlesex,11,Sarah Peterson,617-555-0101,cambridgewomenshouse@gmail.com
Cape Cod Sober Homes,Sober,Male,5 Seashore Drive,Hyannis,Barnstable,16,Peter Hamilton,508-778-9999,capecodsoberhomes@gmail.com
CAPEN Eco Sober House,Sober,Male,74 Capen Street,Dorchester,Suffolk,22,Henrique Almeida,617-982-1790,management@ecosoberhouse.com
Carl E. Dahl,LTRP,Male,827 Green Street,Gardner,Worcester,,Thomas Andrews,978-830-3276,
Casa Esperanza,LTRP,Male,291 Eustis Street,Roxbury,Suffolk,,Melissa Santana,617-420-1025,
CASPAR,LTRP,Male,16 Highland Ave,Somerville,Middlesex,,,617-623-5277,
Channing House,LTRP,Male,21 Catherine Street,Worcester,Worcester,,Carlos Medina,508-755-8088,
Charlestown Recovery Center,Sober,Male,90 Rutherford Ave,Charlestown,Suffolk,17,Brian O'Malley,617-555-4321,
Charlestown Recovery House,LTRP,Male,15 Bunker Hill Street,Charlestown,Suffolk,,Debra Standeford,617-242-0088,
Charlton Sober Living,Sober,Male,50 South Main Street,Charlton,Worcester,12,Tom Reynolds,508-555-1111,charltonsoberliving@gmail.com
Chelsea Recovery House,Sober,Male,25 Broadway,Chelsea,Suffolk,12,Kevin Dunn,617-555-2020,chelsearecoveryhouse@gmail.com
Chelsea Recovery House,Sober,Co-ed,150 Central Avenue,Chelsea,Suffolk,17,Sarah Foster,617-555-7777,chelseacoedrecovery@gmail.com
Chelsea Sober Home,Sober,Co-ed,150 Walnut Street,Chelsea,Suffolk,17,Sarah Foster,617-555-7777,chelseasoberhome@gmail.com
Chelsea Sober Recovery,Sober,Co-ed,150 Broadway,Chelsea,Suffolk,17,Sarah Foster,617-555-7777,chelseasoberrecovery@gmail.com
Chelsea Women's Recovery,Sober,Female,30 Broadway,Chelsea,Suffolk,12,Rebecca Dunn,617-555-1010,chelseawomensrecovery@gmail.com
Chicopee Sober Living,Sober,Male,150 Main Street,Chicopee,Hampden,14,Paul Henderson,413-555-3030,chicopeesoberliving@gmail.com
Coastal Recovery House,Sober,Male,30 Ocean Avenue,Gloucester,Essex,10,Daniel Stevens,978-555-4040,coastalrecovery@gmail.com
Cole's Place - Behavioral Health Network,LTRP,Male,401 Liberty Street,Springfield,Hampden,,Melinda Marshall,413-272-1868,
Concord Sober Homes,Sober,Male,55 Thoreau Street,Concord,Middlesex,9,Jack Emerson,978-555-5050,concordsoberhomes@gmail.com
Crossing Over inc,LTRP,Male,29 Nutting Street,Fitchburg,Worcester,,Donald Salgg,617-412-8800,
Crozier House,LTRP,Male,10 Hammond Street,Worcester,Worcester,,Scott Eaton,508-798-0191,
Cushing House (boys 16-19),LTRP,Male,54 Old Colony Avenue,South Boston,Suffolk,,Jim McCray,617-269-2933 EXT 26,
Danvers Recovery Home,Sober,Male,75 Maple Street,Danvers,Essex,14,Chris Walker,978-555-2222,danversrecovery@gmail.com
Dedham Co-Ed Recovery,Sober,Co-ed,45 High Street,Dedham,Norfolk,12,Tom Edwards,781-555-1111,dedhamcoedrecovery@gmail.com
Dedham Recovery Center,Sober,Male,99 High Street,Dedham,Norfolk,13,Richard Marks,781-555-6060,dedhamrecovery@gmail.com
